R1_PINH1,92.71,55.88,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R1_PWRUSB,110.49,45.72,90.00,100K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2,58.42,12.70,0.00,2.2,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-PINH,153.67,3.81,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-PINH1,87.63,43.18,180.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-USB,142.24,43.18,90.00,5K1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-USB1,153.67,44.45,90.00,5k1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2_BAT,114.30,58.42,180.00,2K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R3,62.23,10.16,90.00,0.47,ESP32_WROVER_EAGLE-LTSPICE_R0402
R4,62.23,16.51,0.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R5,38.10,55.88,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R6,34.29,36.83,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R7,31.75,36.83,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R8,24.13,36.83,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R9,71.12,31.75,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
RESET_BUTTON,48.97,107.67,180.00,BUTTON_CUSYOMV1,MYBUTTON
R_BOOT,20.32,105.41,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CAPACITOR,86.36,59.69,180.00,15,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CHANGE,59.69,105.41,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CL1,74.93,31.75,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_RESET,44.45,105.41,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
SENSOR2,152.41,8.89,90.00,ESP32_WROVER_BME680_BME680,ESP32_WROVER_BME680_PSON80P300X300X100-8N
SJ1,58.42,10.16,0.00,,SJ
TP1,81.28,83.82,0.00,TPTP20R,TP20R
TP10,81.28,80.01,0.00,TPTP20R,TP20R
TP11,86.36,83.82,0.00,TPTP20R,TP20R
TP12,74.93,80.01,0.00,TPTP20R,TP20R
TP13,68.58,80.01,0.00,TPTP20R,TP20R
TP14,62.23,80.01,0.00,TPTP20R,TP20R
TP15,55.88,80.01,0.00,TPTP20R,TP20R
TP16,49.53,80.01,0.00,TPTP20R,TP20R
TP17,43.18,80.01,0.00,TPTP20R,TP20R
TP2,76.20,83.82,0.00,TPTP20R,TP20R
TP3,71.12,83.82,0.00,TPTP20R,TP20R
TP4,66.04,83.82,0.00,TPTP20R,TP20R
TP5,60.96,83.82,0.00,TPTP20R,TP20R
TP6,55.88,83.82,0.00,TPTP20R,TP20R
TP7,50.80,83.82,0.00,TPTP20R,TP20R
TP8,45.72,83.82,0.00,TPTP20R,TP20R
TP9,40.64,83.82,0.00,TPTP20R,TP20R
U$1,64.00,107.67,180.00,BUTTON_CUSYOMV1,MYBUTTON
U$3,24.13,107.67,180.00,BUTTON_CUSYOMV1,MYBUTTON
U1,38.10,63.50,0.00,W25Q512JVEIQ,SON127P600X800X80-9N
U2,16.96,62.23,90.00,ESP32-C6-WROOM-1-N8,XCVR_ESP32-C6-WROOM-1-N8
U3,82.55,52.07,270.00,DS3231SN#,SOIC127P1032X265-16N
U4,134.62,62.23,0.00,MAX17048G+T10,SON50P200X200X80-9N
